Date,BT Wholesale Focus Australian Share Fund,BT Wholesale Fixed Interest Fund,BT Wholesale Smaller Companies Fund,BT Wholesale Smaller Companies Fund B,BT Wholesale Smaller Companies Fund C,BT Wholesale American Share Fund,BT Wholesale Japanese Share Fund,BT Wholesale European Share Fund,BT Wholesale Asian Share Fund,BT Global Emerging Markets Opportunities Fund,PIMCO Emerging Markets Bond Fund (PEBIX) [USD],Ardea Wholesale Australian Inflation Linked Bond Fund
1-Dec-15,1.67,1.20,2.60,1.31,.78,1.23,.68,1.31,1.75,1.04,9.70,1.00
30-Nov-15,1.64,1.20,2.56,1.31,.78,1.22,.67,1.32,1.74,1.04,9.71,1.00
29-Nov-15,1.64,1.20,2.57,1.32,.79,1.24,.69,1.33,1.76,1.05,9.75,1.00
28-Nov-15,1.64,1.20,2.57,1.32,.79,1.24,.69,1.33,1.76,1.05,9.76,1.00
27-Nov-15,1.64,1.20,2.57,1.32,.79,1.24,.69,1.33,1.76,1.05,9.76,1.00
26-Nov-15,1.64,1.20,2.56,1.32,.78,1.23,.69,1.33,1.76,1.06,9.78,1.00
25-Nov-15,1.63,1.19,2.55,1.31,.78,1.23,.68,1.32,1.76,1.06,9.80,.99
24-Nov-15,1.64,1.19,2.55,1.31,.78,1.23,.69,1.30,1.76,1.06,9.80,1.00
23-Nov-15,1.66,1.19,2.58,1.32,.78,1.23,.69,1.32,1.78,1.06,9.77,1.00
22-Nov-15,1.65,1.19,2.56,1.31,.78,1.23,.68,1.33,1.77,1.06,9.73,1.00
21-Nov-15,1.65,1.19,2.56,1.31,.78,1.23,.68,1.33,1.77,1.06,9.72,.99
20-Nov-15,1.65,1.19,2.56,1.31,.78,1.23,.68,1.33,1.77,1.06,9.70,.99
19-Nov-15,1.65,1.19,2.55,1.31,.78,1.23,.69,1.34,1.76,1.06,9.69,.99
18-Nov-15,1.62,1.19,2.52,1.33,.78,1.25,.69,1.35,1.77,1.06,9.73,.99
17-Nov-15,1.61,1.19,2.50,1.31,.78,1.22,.68,1.35,1.78,1.06,9.74,1.00
16-Nov-15,1.58,1.19,2.46,1.31,.78,1.23,.68,1.33,1.78,1.05,9.74,.99
15-Nov-15,1.59,1.19,2.48,1.30,.78,1.21,.69,1.32,1.78,1.05,9.75,.99
14-Nov-15,1.59,1.19,2.48,1.30,.78,1.21,.69,1.32,1.78,1.05,9.82,.99
13-Nov-15,1.59,1.19,2.48,1.30,.78,1.21,.69,1.32,1.78,1.05,9.87,1.00
12-Nov-15,1.61,1.19,2.50,1.31,.78,1.22,.69,1.34,1.80,1.06,9.88,1.00
11-Nov-15,1.61,1.19,2.49,1.34,.78,1.25,.70,1.36,1.81,1.07,9.86,1.00
10-Nov-15,1.60,1.19,2.48,1.34,.78,1.26,.69,1.35,1.82,1.07,9.79,1.01
9-Nov-15,1.61,1.19,2.50,1.34,.77,1.25,.69,1.35,1.84,1.08,9.77,1.01
8-Nov-15,1.63,1.20,2.52,1.35,.78,1.26,.68,1.36,1.86,1.09,9.76,1.01
7-Nov-15,1.63,1.20,2.52,1.35,.78,1.26,.68,1.36,1.86,1.09,9.79,1.02
6-Nov-15,1.63,1.20,2.52,1.35,.78,1.26,.68,1.36,1.86,1.09,9.77,1.02
5-Nov-15,1.61,1.20,2.53,1.33,.78,1.25,.67,1.36,1.85,1.09,9.80,1.02
4-Nov-15,1.62,1.20,2.54,1.33,.78,1.25,.67,1.36,1.86,1.10,9.78,1.02
3-Nov-15,1.62,1.20,2.54,1.33,.78,1.25,.66,1.36,1.84,1.08,9.75,1.02
2-Nov-15,1.60,1.21,2.51,1.34,.78,1.25,.66,1.37,1.84,1.08,9.73,1.02
1-Nov-15,1.63,1.21,2.51,1.33,.78,1.24,.68,1.37,1.85,1.08,9.76,1.02
31-Oct-15,1.63,1.21,2.51,1.33,.78,1.24,.68,1.37,1.85,1.08,9.78,1.02
30-Oct-15,1.63,1.21,2.51,1.33,.78,1.24,.68,1.37,1.85,1.08,9.78,1.02
29-Oct-15,1.63,1.21,2.49,1.35,.79,1.25,.68,1.37,1.86,1.08,9.74,1.02
28-Oct-15,1.64,1.21,2.49,1.34,.79,1.24,.67,1.37,1.86,1.08,9.68,1.02
27-Oct-15,1.64,1.21,2.50,1.31,.79,1.21,.66,1.34,1.85,1.07,9.69,1.01
26-Oct-15,1.64,1.20,2.50,1.31,.79,1.21,.66,1.35,1.85,1.07,9.73,1.01
25-Oct-15,1.64,1.21,2.50,1.31,.79,1.22,.66,1.36,1.85,1.08,9.72,1.01
24-Oct-15,1.64,1.21,2.50,1.31,.79,1.22,.66,1.36,1.85,1.08,9.67,1.01
23-Oct-15,1.64,1.21,2.50,1.31,.79,1.22,.66,1.36,1.85,1.08,9.68,1.01
22-Oct-15,1.62,1.21,2.45,1.30,.79,1.21,.65,1.35,1.85,1.07,9.64,1.01
21-Oct-15,1.62,1.20,2.46,1.29,.78,1.19,.66,1.34,1.85,1.07,9.57,1.01
20-Oct-15,1.61,1.21,2.45,1.29,.78,1.19,.65,1.33,1.84,1.07,9.47,1.01
19-Oct-15,1.62,1.21,2.45,1.29,.79,1.20,.65,1.33,1.85,1.07,9.43,1.02
18-Oct-15,1.62,1.21,2.45,1.29,.79,1.20,.65,1.33,1.83,1.07,9.37,1.02
17-Oct-15,1.62,1.21,2.45,1.29,.79,1.20,.65,1.33,1.83,1.07,9.29,1.01
16-Oct-15,1.62,1.21,2.45,1.29,.79,1.20,.65,1.33,1.83,1.07,9.35,1.01
15-Oct-15,1.61,1.21,2.44,1.27,.79,1.18,.64,1.32,1.81,1.06,9.45,1.02
14-Oct-15,1.61,1.21,2.42,1.27,.79,1.18,.63,1.32,1.80,1.05,9.48,1.02
13-Oct-15,1.61,1.20,2.42,1.27,.78,1.18,.64,1.31,1.80,1.04,9.57,1.01
12-Oct-15,1.61,1.20,2.44,1.26,.78,1.17,.64,1.31,1.80,1.04,9.62,1.02
11-Oct-15,1.62,1.20,2.45,1.27,.78,1.18,.64,1.32,1.80,1.04,9.73,1.01
10-Oct-15,1.62,1.20,2.45,1.27,.78,1.18,.64,1.32,1.80,1.04,9.76,1.01
9-Oct-15,1.62,1.20,2.45,1.27,.78,1.18,.64,1.32,1.80,1.04,9.75,1.01
8-Oct-15,1.60,1.20,2.43,1.28,.78,1.20,.64,1.33,1.83,1.05,9.73,1.02
7-Oct-15,1.60,1.20,2.43,1.27,.78,1.18,.65,1.32,1.83,1.05,9.71,1.02
6-Oct-15,1.59,1.21,2.44,1.28,.79,1.19,.65,1.34,1.85,1.04,9.70,1.02
5-Oct-15,1.57,1.21,2.40,1.28,.79,1.20,.64,1.33,1.85,1.03,9.71,1.02
4-Oct-15,1.57,1.21,2.40,1.28,.79,1.20,.64,1.33,1.85,1.03,9.73,1.02
3-Oct-15,1.57,1.21,2.40,1.28,.79,1.20,.64,1.33,1.85,1.03,9.76,1.02
2-Oct-15,1.57,1.21,2.40,1.28,.79,1.20,.64,1.33,1.85,1.03,9.73,1.02
1-Oct-15,1.58,1.21,2.41,1.27,.79,1.17,.64,1.31,1.83,1.00,9.74,1.03
30-Sep-15,1.56,1.21,2.39,1.27,.79,1.18,.63,1.32,1.84,1.00,9.74,1.02
29-Sep-15,1.53,1.21,2.35,1.25,.79,1.16,.61,1.30,1.81,.99,9.75,1.02
28-Sep-15,1.58,1.20,2.41,1.26,.79,1.16,.64,1.31,1.82,1.00,9.74,1.03
27-Sep-15,1.56,1.20,2.38,1.28,.78,1.19,.64,1.32,1.82,1.00,9.77,1.03
26-Sep-15,1.56,1.20,2.38,1.28,.78,1.19,.64,1.32,1.82,1.00,9.81,1.02
25-Sep-15,1.56,1.20,2.38,1.28,.78,1.19,.64,1.32,1.82,1.00,9.81,1.02
24-Sep-15,1.57,1.20,2.38,1.28,.79,1.20,.63,1.31,1.82,1.01,9.77,1.03
23-Sep-15,1.55,1.20,2.35,1.29,.78,1.20,.64,1.31,1.83,1.01,9.68,1.03
22-Sep-15,1.58,1.20,2.36,1.28,.78,1.19,.64,1.30,1.84,1.02,9.69,1.03
21-Sep-15,1.56,1.20,2.35,1.29,.78,1.20,.63,1.33,1.82,1.02,9.65,1.03
20-Sep-15,1.59,1.19,2.38,1.27,.78,1.18,.62,1.32,1.81,1.02,9.78,1.02
19-Sep-15,1.59,1.19,2.38,1.27,.78,1.18,.62,1.32,1.81,1.02,9.82,1.02
18-Sep-15,1.59,1.19,2.38,1.27,.78,1.18,.62,1.32,1.81,1.02,9.87,1.02
17-Sep-15,1.59,1.19,2.35,1.31,.77,1.21,.64,1.34,1.82,1.03,9.91,1.01
16-Sep-15,1.58,1.19,2.33,1.30,.77,1.20,.63,1.33,1.80,1.02,9.93,1.01
15-Sep-15,1.55,1.20,2.31,1.30,.78,1.21,.63,1.33,1.82,1.01,9.95,1.02
14-Sep-15,1.57,1.20,2.33,1.28,.78,1.18,.63,1.32,1.82,1.00,9.96,1.02
13-Sep-15,1.56,1.20,2.31,1.30,.78,1.21,.64,1.34,1.83,1.01,9.97,1.01
12-Sep-15,1.56,1.20,2.31,1.30,.78,1.21,.64,1.34,1.83,1.01,9.98,1.01
11-Sep-15,1.56,1.20,2.31,1.30,.78,1.21,.64,1.34,1.83,1.01,10.00,1.01
10-Sep-15,1.57,1.20,2.31,1.30,.78,1.20,.64,1.34,1.83,1.01,10.00,1.01
9-Sep-15,1.60,1.20,2.34,1.31,.78,1.20,.66,1.35,1.85,1.02,10.01,1.01
8-Sep-15,1.57,1.21,2.31,1.31,.78,1.22,.63,1.35,1.82,1.00,10.06,1.02
7-Sep-15,1.55,1.21,2.29,1.30,.78,1.20,.65,1.35,1.82,.99,10.08,1.02
6-Sep-15,1.55,1.21,2.29,1.30,.78,1.20,.65,1.33,1.84,1.00,10.09,1.02
5-Sep-15,1.55,1.21,2.29,1.30,.78,1.20,.65,1.33,1.84,1.00,10.12,1.01
4-Sep-15,1.55,1.21,2.29,1.30,.78,1.20,.65,1.33,1.84,1.00,10.10,1.01
3-Sep-15,1.55,1.21,2.27,1.30,.78,1.21,.65,1.35,1.82,1.01,10.07,1.01
2-Sep-15,1.57,1.21,2.30,1.30,.78,1.21,.65,1.34,1.82,1.00,10.03,1.02
1-Sep-15,1.56,1.21,2.31,1.28,.78,1.18,.66,1.33,1.82,1.00,10.03,1.01
